paths,labels
/data/Build-Your-Own-Face-Model-master/30/0259/228.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/63.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/284.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/80.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/67.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/245.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/184.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/213.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/155.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/98.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/82.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/30.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/130.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/118.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/88.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/43.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/23.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/275.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/49.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/268.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/191.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/135.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/116.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/300.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/21.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/92.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/214.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/48.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/26.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0259/138.jpg,0259
/data/Build-Your-Own-Face-Model-master/30/0289/228.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/63.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/284.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/80.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/67.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/245.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/184.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/213.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/155.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/98.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/82.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/30.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/130.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/118.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/88.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/43.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/23.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/275.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/49.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/268.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/191.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/135.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/116.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/300.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/21.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/92.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/214.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/48.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/26.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0289/138.jpg,0289
/data/Build-Your-Own-Face-Model-master/30/0262/228.jpg,0262
/data/Build-Your-Own-Face-Model-master/30/0262/63.jpg,0262
/data/Build-Your-Own-Face-Model-master/30/0262/284.jpg,0262
/data/Build-Your-Own-Face-Model-master/30/0262/80.jpg,0262
/data/Build-Your-Own-Face-Model-master/30/0262/67.jpg,0262
/data/Build-Your-Own-Face-Model-master/30/0262/245.jpg,0262
/data/Build-Your-Own-Face-Model-master/30/0262/184.jpg,0262
/data/Build-Your-Own-Face-Model-master/30/0262/213.jpg,0262
